"Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA"
"TOR","6158","4361","90.2","118.4","11.2","368","8.4%","1920","44.0%",".264","",".431","",".331",""
"ATL","6082","4048","89.9","116.8","13.5","441","10.9%","1756","43.4%",".253","",".443","",".330",""
"NYY","6172","4091","89.7","119.8","13.3","411","10.0%","1705","41.7%",".241","",".426","",".327",""
"MIN","6113","4180","89.6","115.1","13.1","365","8.7%","1714","41.0%",".248","",".401","",".315",""
"LAD","6247","4210","89.5","112.5","15.8","389","9.2%","1760","41.8%",".257","",".442","",".337",""
"PHI","6077","4184","89.3","114.8","13.0","357","8.5%","1714","41.0%",".253","",".422","",".322",""
"BOS","6144","4230","89.3","117.9","11.4","343","8.1%","1724","40.8%",".258","",".409","",".319",""
"CHW","6123","4393","89.2","117.8","10.6","329","7.5%","1783","40.6%",".256","",".387","",".306",""
"TEX","6029","4080","89.2","113.0","14.0","323","7.9%","1601","39.2%",".239","",".395","",".305",""
"MIL","6122","4001","89.0","117.2","13.5","349","8.7%","1586","39.6%",".235","",".409","",".317",""
"TBR","6008","4056","88.9","115.0","11.4","247","6.1%","1556","38.4%",".239","",".377","",".302",""
"KCR","6010","4215","88.8","113.7","12.9","302","7.2%","1582","37.5%",".244","",".380","",".302",""
"HOU","6054","4287","88.7","117.4","14.2","346","8.1%","1666","38.9%",".248","",".424","",".324",""
"BAL","6049","4100","88.7","112.0","15.5","332","8.1%","1590","38.8%",".236","",".390","",".305",""
"CHC","6072","4033","88.4","116.2","10.5","269","6.7%","1494","37.0%",".238","",".387","",".307",""
"SDP","6175","4209","88.4","115.2","13.2","274","6.5%","1579","37.5%",".241","",".382","",".308",""
"LAA","5977","3935","88.3","119.1","13.7","333","8.5%","1400","35.6%",".233","",".390","",".300",""
"PIT","5912","3885","88.3","122.4","11.6","256","6.6%","1442","37.1%",".222","",".364","",".289",""
"SFG","6117","3989","88.2","114.3","15.3","326","8.2%","1496","37.5%",".234","",".390","",".311",""
"NYM","6176","4337","88.2","116.5","11.9","308","7.1%","1603","37.0%",".259","",".412","",".326",""
"SEA","6117","4035","88.2","117.2","15.0","327","8.1%","1473","36.5%",".230","",".390","",".310",""
"MIA","5949","4014","88.2","117.6","10.9","282","7.0%","1486","37.0%",".230","",".363","",".290",""
"STL","6165","4322","88.2","114.4","14.3","325","7.5%","1611","37.3%",".252","",".420","",".326",""
"ARI","6027","4095","88.1","115.0","12.4","268","6.5%","1458","35.6%",".230","",".385","",".303",""
"OAK","5863","3982","87.7","114.0","11.7","252","6.3%","1357","34.1%",".216","",".346","",".277",""
"COL","6105","4261","87.6","115.5","9.9","252","5.9%","1563","36.7%",".254","",".398","",".312",""
"DET","5870","4019","87.6","112.1","11.8","251","6.2%","1456","36.2%",".231","",".346","",".279",""
"WSN","5998","4275","87.5","115.0","10.3","251","5.9%","1509","35.3%",".249","",".377","",".303",""
"CLE","6163","4510","87.2","115.8","11.7","220","4.9%","1489","33.0%",".254","",".383","",".306",""
"CIN","5978","4004","87.2","113.6","12.9","233","5.8%","1381","34.5%",".235","",".372","",".299",""
